Disease,Symptom_0,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Check
Bệnh thương hàn,Ớn lạnh,Nôn mửa,Mệt mỏi,Sốt cao,Khó chịu,Táo bón,Đau bụng,Tiêu chảy,Sốt phát ban,Đau bụng,null,null,null,null,null,null,null,true
Bệnh thương hàn,Ớn lạnh,Nôn mửa,Mệt mỏi,Sốt cao,Đau đầu,Khó chịu,Táo bón,Đau bụng,Tiêu chảy,Sốt phát ban,Đau bụng,null,null,null,null,null,null,true
Bệnh thương hàn,Ớn lạnh,Nôn mửa,Mệt mỏi,Sốt cao,Đau đầu,Khó chịu,Táo bón,Tiêu chảy,Sốt phát ban,Đau bụng,null,null,null,null,null,null,null,true
Nhiễm trùng tiết niệu,Tiểu buốt,Đau bàng quang,Nước tiểu có mùi hôi,Tiểu nhiều lần,null,null,null,null,null,null,null,null,null,null,null,null,null,true
Nhiễm trùng tiết niệu,Đau bàng quang,Nước tiểu có mùi hôi,Tiểu nhiều lần,null,null,null,null,null,null,null,null,null,null,null,null,null,null,true
Nhiễm trùng tiết niệu,Tiểu buốt,Nước tiểu có mùi hôi,Tiểu nhiều lần,null,null,null,null,null,null,null,null,null,null,null,null,null,null,true
Nhiễm trùng tiết niệu,Tiểu buốt,Đau bàng quang,Tiểu nhiều lần,null,null,null,null,null,null,null,null,null,null,null,null,null,null,true
Nhiễm trùng tiết niệu,Tiểu buốt,Đau bàng quang,Nước tiểu có mùi hôi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,true
Giản tĩnh mạch,Mệt mỏi,Chuột rút,Bầm tím,Béo phì,Sưng tĩnh mạch,Nổi mạch máu,null,null,null,null,null,null,null,null,null,null,null,true
Giản tĩnh mạch,Mệt mỏi,Chuột rút,Béo phì,Phù nề chân,Sưng tĩnh mạch,Nổi mạch máu,null,null,null,null,null,null,null,null,null,null,null,true
Giản tĩnh mạch,Mệt mỏi,Bầm tím,Béo phì,Phù nề chân,Sưng tĩnh mạch,Nổi mạch máu,null,null,null,null,null,null,null,null,null,null,null,true
Giản tĩnh mạch,Chuột rút,Bầm tím,Béo phì,Phù nề chân,Sưng tĩnh mạch,Nổi mạch máu,null,null,null,null,null,null,null,null,null,null,null,true
Giản tĩnh mạch,Mệt mỏi,Chuột rút,Bầm tím,Béo phì,Phù nề chân,Sưng tĩnh mạch,Nổi mạch máu,null,null,null,null,null,null,null,null,null,null,true
Giản tĩnh mạch,Mệt mỏi,Chuột rút,Bầm tím,Béo phì,Phù nề chân,Nổi mạch máu,null,null,null,null,null,null,null,null,null,null,null,true
Giản tĩnh mạch,Mệt mỏi,Chuột rút,Bầm tím,Phù nề chân,Sưng tĩnh mạch,Nổi mạch máu,null,null,null,null,null,null,null,null,null,null,null,true
Giản tĩnh mạch,Mệt mỏi,Chuột rút,Bầm tím,Béo phì,Phù nề chân,Sưng tĩnh mạch,null,null,null,null,null,null,null,null,null,null,null,true
